tweet_id,customer_message,brand_reply,timestamp,intent,should_escalate,escalation_reason,ideal_reply_notes,pred_trivial,pred_keyword,pred_llm,generated_reply,pred_should_escalate,pred_escalation_reason
485348,"After years of buying, first time I ship with Amazon Logistic and it's just a quick way to throw away my money, 800 $ lost in merchandise and you just can not be held responsible. What good policies, guys, great work. , that was a Black Friday in deep","Hi, can you tell us a bit more about the issue without sharing any personal or account information? ^JJ",Fri Dec 01 15:02:22 +0000 2017,delivery_issue,yes,"angry, lost $800 worth of stuff","say sorry, ask for order number, explain how to file a lost package claim",delivery_issue,delivery_issue,delivery_issue,"Hi, were sorry to hear about this. Could you DM us more details (without sharing personal info) so we can look into it? ^JJ",yes,"The customer reports a financial loss of $800 in merchandise, which exceeds the $100 threshold for mandatory escalation."
2857281,"qué pasa últimamente con lo de ""entrega garantizada""?!? Lo que está garantizado últimamente es recibirlo tarde o muy tarde","Hola Cristian, ¿en el momento tienes un pedido pendiente de entrega? ^DA",Tue Sep 12 19:55:47 +0000 2017,delivery_issue,no,,ask if they have a package on the way right now,delivery_issue,product_inquiry,product_inquiry,"Hola, tienes un pedido pendiente de entrega? ^DA",no,"The message is a general complaint about delivery delays and a question about the 'guaranteed delivery' policy, which does not meet the specific criteria for escalation such as financial disputes, threats, or complex account issues."
2922520,A+ on packaging lmao.,Wow! I am sorry for this apparent misstep on our part. We would love the opportunity to go over options with you. Please contact us via phone or email here: ^LM,Wed Nov 29 02:05:49 +0000 2017,general_complaint,no,,"ask what happened with the packaging, maybe ask for a photo",delivery_issue,general_complaint,general_complaint,"Wow, were sorry about the packaging. Wed love to discuss optionsplease DM us or share your feedback here: ^LM",no,"The message is a brief, informal complaint about packaging that does not meet the criteria for escalation such as extreme anger, financial dispute, or complex account issues."
473338,"., mille mercis, je suis comme un gosse le matin de Noël !!! 🎅🏻😍❤️ Cc","Bonjour Joseph, très ravie que cela vous a plu. 😍 Bonne journée. 🙂 ^MA",Fri Dec 01 09:20:07 +0000 2017,other,no,,"just a happy customer, nothing to fix",delivery_issue,general_complaint,other,"Bonjour, mille merci  vous! Nous sommes ravis que cela vous rende aussi enthousiaste  Bonne journe  ^MA",no,"The message is a positive expression of gratitude and excitement, which falls under praise or routine feedback."
1283894,Acabándome #ElRetratoDeDorianGray 🖼👱🏻👺 😜,Es un libro increíble.😱🖤 ¿Has leído otros libros de Oscar Wilde? ^HC,Thu Oct 26 18:05:35 +0000 2017,other,no,,"not about an order, just talking about a book",delivery_issue,general_complaint,other,Qu genial que ests disfrutando #ElRetratoDeDorianGray!  Qu parte te ha sorprendido ms? ^HC,no,"The message is a casual social media update about reading a book, not a support request or complaint."
2981589,"Hey can you check your delivery drivers for dyslexia. Its appartment 43 not 34. And dont say it was recieved by me, it wasnt!","Hey mike, sorry about that! Were you about to receive your package even thought it was delivered to the wrong location? ^LS",Tue Oct 31 20:58:13 +0000 2017,delivery_issue,no,,"check the address on file, look into who signed for it",delivery_issue,delivery_issue,delivery_issue,"Hey there, sorry for the mixup  well check why it was marked delivered to apt34 instead of43. Please DM us your order details so we can sort this out for you. ^LS",no,This is a standard delivery address correction and status dispute that can be resolved by updating the tracking information without requiring human intervention.
2566983,"only 9 out of 21 ordered items were delivered today. No way to request a refund. This is not the first time when such thing happened, but this time it is really awful. We are upset and most likely will cancel our membership. I won't recommend the service to anyone.",I'm so sorry about the delivery trouble! I can definitely understand your disappointment. Could you please confirm what the tracking information is currently stating for your missing items: ? Please keep us posted! We want to help! ^SD,Thu Nov 16 19:20:18 +0000 2017,delivery_issue,yes,"says this happened before, missing 9 items, wants to cancel membership","apologize, ask for order number, explain refund steps for missing items",delivery_issue,refund_return,delivery_issue,Im really sorry you only received 9 of 21 items  thats frustrating. Could you DM us your order # and any tracking info for the missing items so we can sort this out quickly? Thank you for your patience. ^SD,yes,"The customer reports a significant partial delivery failure (12 missing items), indicates this is a repeated issue, and explicitly threatens to cancel their membership."
1260824,I have not received any mail from your side for cancelling of my order. Even now i dont know what is the exact reason of cancelling it.,"That's odd, kindly connect with us here: and we'll definitely look into it. ^PS",Thu Oct 26 10:22:10 +0000 2017,delivery_issue,no,,"explain why order got cancelled, point to email confirmation",delivery_issue,general_complaint,general_complaint,Sorry to hear that. We dont have access to your order details hereplease DM us or reach out via the link so we can look into the cancellation for you. ^PS,no,"The customer is inquiring about the status and reason for an order cancellation, which is a standard account inquiry that does not meet the criteria for financial dispute, security breach, or extreme distress."
2372313,Already did million times. All lies. You cannot see the locker availability. It's a total bluff,What information or options were we able to provide when you reached out to us about this? ^CL,Tue Nov 14 01:39:30 +0000 2017,general_complaint,yes,"says they already tried many times, sounds fed up","ask for more details without personal info, offer to look into locker problem",delivery_issue,general_complaint,delivery_issue,Sorry to hear youre still having trouble seeing locker availability. Could you DM us your account details so we can look into this for you? ^CL,yes,The customer explicitly states they have already attempted resolution multiple times and expresses extreme frustration with previous support failures.
453206,Pondering how prime delivery with can take longer than Royal Mail second class delivery to arrive. Package out for delivery today (ordered Monday!) then get email to say allow another day or two for it to arrive! #notreallyprimeisit?,"I'm sorry your parcel is arriving later than expected! We strive to meet the delivery date provided at checkout. When you have a moment, please phone or chat with us here: We want to make sure you're provided with a new delivery date! ^BN",Thu Nov 30 22:41:27 +0000 2017,delivery_issue,no,,"apologize for late delivery, give new delivery date",delivery_issue,delivery_issue,delivery_issue,"I'm sorry your parcel is arriving later than expected! We strive to meet the delivery date provided at checkout. When you have a moment, please phone or chat with us here: We want to make sure you're provided with a new delivery date! ^BN",no,"The customer is expressing frustration about a delayed delivery but is not threatening legal action, reporting a financial dispute, or indicating a complex account security issue, making it suitable for standard automated handling."
2803312,Hey we love the convenience of shopping your site &amp; do it regularly but this is ridiculous. Why not slap the label on the pouch &amp; send it on it’s way. Heck add your amazon prime sticker too if that’s important.,Hey Megan! Thank you for bring this to our attention! We're always looking to improve. You can help us by sending your packing feedback: We apprciate it. ^LS,Wed Nov 22 01:42:42 +0000 2017,general_complaint,no,,"thank them for feedback, point to packaging feedback form",delivery_issue,general_complaint,delivery_issue,Hey! Thanks for the feedback. We're always looking to improve. You can help us by sending your packing feedback: We appreciate it. ^LS,no,"The customer is expressing frustration about a minor packaging issue but remains a regular, satisfied user without threats, financial disputes, or complex account problems."
